Date,FFR,RGDP,NFP,CORE PCE,UNEMPLOYMENT RATE,LPR,INFLATION EXPECTATION,,,,,,
1935-01-01,,,,,,,,,,,,,
1935-04-01,,,,,,,,,,,,,
1935-07-01,,,,,,,,,,,,,
1935-10-01,,,,,,,,,,,,,
1936-01-01,,,,,,,,,,,,,
1936-04-01,,,,,,,,,,,,,
1936-07-01,,,,,,,,,,,,,
1936-10-01,,,,,,,,,,,,,
1937-01-01,,,,,,,,,,,,,
1937-04-01,,,,,,,,,,,,,
1937-07-01,,,,,,,,,,,,,
1937-10-01,,,,,,,,,,,,,
1938-01-01,,,,,,,,,,,,,
1938-04-01,,,,,,,,,,,,,
1938-07-01,,,,,,,,,,,,,
1938-10-01,,,,,,,,,,,,,
1939-01-01,,,100,,,,,,,,,,
1939-04-01,,,101,,,,,,,,,,
1939-07-01,,,102,,,,,,,,,,
1939-10-01,,,105,,,,,,,,,,
1940-01-01,,,105,,,,,,,,,,
1940-04-01,,,106,,,,,,,,,,
1940-07-01,,,108,,,,,,,,,,
1940-10-01,,,112,,,,,,,,,,
1941-01-01,,,116,,,,,,,,,,
1941-04-01,,,120,,,,,,,,,,
1941-07-01,,,125,,,,,,,,,,
1941-10-01,,,126,,,,,,,,,,
1942-01-01,,,128,,,,,,,,,,
1942-04-01,,,132,,,,,,,,,,
1942-07-01,,,136,,,,,,,,,,
1942-10-01,,,139,,,,,,,,,,
1943-01-01,,,141,,,,,,,,,,
1943-04-01,,,142,,,,,,,,,,
1943-07-01,,,141,,,,,,,,,,
1943-10-01,,,142,,,,,,,,,,
1944-01-01,,,141,,,,,,,,,,
1944-04-01,,,140,,,,,,,,,,
1944-07-01,,,139,,,,,,,,,,
1944-10-01,,,139,,,,,,,,,,
1945-01-01,,,139,,,,,,,,,,
1945-04-01,,,137,,,,,,,,,,
1945-07-01,,,133,,,,,,,,,,
1945-10-01,,,129,,,,,,,,,,
1946-01-01,,,132,,,,,,,,,,
1946-04-01,,,137,,,,,,,,,,
1946-07-01,,,141,,,,,,,,,,
1946-10-01,,,144,,,,,,,,,,
1947-01-01,,,145,,,,,,,,,,
1947-04-01,,,145,,,,,,,,,,
1947-07-01,,,146,,,,,,,,,,
1947-10-01,,,148,,,,,,,,,,
1948-01-01,,2.6,148,,,58.7,,,,,,,
1948-04-01,,4.6,149,,3.7,58.8,,,,,,,
1948-07-01,,5.4,150,,3.7,59.0,,,,,,,
1948-10-01,,3.9,150,,3.8,58.8,,,,,,,
1949-01-01,,0.9,148,,3.8,58.9,,,,,,,
1949-04-01,,-1.0,146,,4.7,58.8,,,,,,,
1949-07-01,,-0.6,145,,5.9,59.1,,,,,,,
1949-10-01,,-1.5,144,,6.7,59.4,,,,,,,
1950-01-01,,3.8,145,,7.0,58.9,,,,,,,
1950-04-01,,7.3,149,,6.4,59.2,,,,,,,
1950-07-01,,10.3,153,,5.6,59.3,,,,,,,
1950-10-01,,13.4,155,,4.6,59.3,,,,,,,
1951-01-01,,10.6,158,,4.2,59.3,,,,,,,
1951-04-01,,9.1,159,,3.5,59.2,,,,,,,
1951-07-01,,7.3,159,,3.1,59.2,,,,,,,
1951-10-01,,5.5,160,,3.2,59.4,,,,,,,
1952-01-01,,5.2,161,,3.4,59.3,,,,,,,
1952-04-01,,3.6,161,,3.1,59.0,,,,,,,
1952-07-01,,2.2,162,,3.0,58.9,,,,,,,
1952-10-01,,5.4,166,,3.2,59.0,,,,,,,
1953-01-01,,6.2,167,,2.8,59.5,,,,,,,
1953-04-01,,6.8,168,,2.7,58.9,,,,,,,
1953-07-01,,5.4,168,,2.6,58.7,,,,,,,
1953-10-01,,0.5,166,,2.7,58.5,,,,,,,
1954-01-01,,-1.8,164,,3.7,59.0,,,,,,,
1954-04-01,,-2.4,163,,5.3,58.9,,,,,,,
1954-07-01,,-0.8,162,,5.8,58.8,,,,,,,
1954-10-01,,2.7,163,,6.0,58.5,,,,,,,
1955-01-01,,6.2,165,,5.3,58.5,,,,,,,
1955-04-01,,7.8,168,,4.7,58.9,,,,,,,
1955-07-01,,8.0,170,,4.4,59.6,,,,,,,
1955-10-01,,6.6,171,,4.1,60.0,,,,,,,
1956-01-01,,3.2,173,,4.2,60.0,,,,,,,
1956-04-01,,2.4,174,,4.0,60.1,,,,,,,
1956-07-01,,0.9,174,,4.2,60.0,,,,,,,
1956-10-01,,2.0,176,,4.1,59.8,,,,,,,
1957-01-01,,3.0,176,,4.1,59.7,,,,,,,
1957-04-01,,2.0,177,,3.9,59.6,,,,,,,
1957-07-01,,3.1,176,,4.1,59.6,,,,,,,
1957-10-01,,0.4,175,,4.2,59.5,,,,,,,
1958-01-01,,-2.9,172,,4.9,59.3,,,,,,,
1958-04-01,,-2.0,169,,6.3,59.6,,,,,,,
1958-07-01,,-0.7,170,,7.4,59.7,,,,,,,
1958-10-01,,2.7,172,,7.3,59.3,,,,,,,
1959-01-01,,7.4,175,,6.4,59.2,,,,,,,
1959-04-01,,9.1,178,,5.8,59.3,,,,,,,
1959-07-01,,6.7,178,,5.1,59.3,,,,,,,
1959-10-01,,4.6,178,,5.3,59.3,,,,,,,
1960-01-01,,4.9,181,,5.6,58.9,,,,,,,
1960-04-01,,2.1,181,2.1,5.1,59.6,,,,,,,
1960-07-01,,2.5,180,1.9,5.2,59.6,,,,,,,
1960-10-01,,0.9,179,1.7,5.5,59.6,,,,,,,
1961-01-01,,-0.7,178,1.4,6.3,59.6,,,,,,,
1961-04-01,,1.6,179,1.3,6.8,59.5,,,,,,,
1961-07-01,,3.0,180,1.2,7.0,59.2,,,,,,,
1961-10-01,,6.4,182,1.3,6.8,59.0,,,,,,,
1962-01-01,,7.6,183,1.2,6.2,58.9,,,,,,,
1962-04-01,,6.7,185,1.4,5.6,58.8,,,,,,,
1962-07-01,,6.0,186,1.4,5.5,58.8,,,,,,,
1962-10-01,,4.3,186,1.3,5.6,58.5,,,,,,,
1963-01-01,,3.6,187,1.3,5.5,58.6,,,,,,,
1963-04-01,,3.8,188,1.2,5.8,58.7,,,,,,,
1963-07-01,,4.8,189,1.2,5.7,58.6,,,,,,,
1963-10-01,,5.2,190,1.3,5.5,58.7,,,,,,,
1964-01-01,,6.2,192,1.6,5.6,58.7,,,,,,,
1964-04-01,,6.2,193,1.7,5.5,59.0,,,,,,,
1964-07-01,,5.5,195,1.6,5.2,58.6,,,,,,,
1964-10-01,,5.2,196,1.5,5.0,58.6,,,,,,,
1965-01-01,,5.5,199,1.3,5.0,58.7,,,,,,,
1965-04-01,,5.7,201,1.2,4.9,58.9,,,,,,,
1965-07-01,,6.3,203,1.2,4.7,58.9,,,,,,,
1965-10-01,,8.5,206,1.3,4.4,58.9,,,,,,,
1966-01-01,,8.5,209,1.3,4.1,58.9,,,,,,,
1966-04-01,,7.5,212,1.5,3.9,59.0,,,,,,,
1966-07-01,,6.0,214,2.0,3.8,59.2,,,,,,,
1966-10-01,,4.5,216,2.5,3.8,59.5,,,,,,,
1967-01-01,,2.9,217,3.0,3.7,59.3,,,,,,,
1967-04-01,,2.6,218,3.1,3.8,59.4,,,,,,,
1967-07-01,,2.7,219,2.9,3.8,59.7,,,,,,,
1967-10-01,,2.7,221,3.0,3.8,59.9,,,,,,,
1968-01-01,,3.8,223,3.2,3.9,59.5,,,,,,,
1968-04-01,,5.5,225,3.8,3.7,59.8,,,,,,,
1968-07-01,,5.3,227,4.3,3.6,59.6,,,,,,,
1968-10-01,,5.0,229,4.5,3.5,59.6,,,,,,,
1969-01-01,,4.5,231,4.7,3.4,59.8,,,,,,,
1969-04-01,,3.1,234,4.6,3.4,60.0,,,,,,,
1969-07-01,,3.0,235,4.7,3.4,60.2,,,,,,,
1969-10-01,,2.0,236,4.7,3.6,60.3,,,,,,,
1970-01-01,,0.3,237,4.7,3.6,60.5,,,,,,,
1970-04-01,,0.2,236,4.7,4.2,60.4,,,,,,,
1970-07-01,,0.4,236,4.6,4.8,60.3,,,,,,,
1970-10-01,,-0.2,234,4.6,5.2,60.4,,,,,,,
1971-01-01,,2.7,235,4.8,5.8,60.2,,,,,,,
1971-04-01,,3.1,236,5.0,5.9,60.0,,,,,,,
1971-07-01,,3.0,237,5.0,5.9,60.1,,,,,,,
1971-10-01,,4.4,239,4.8,6.0,60.3,,,,,,,
1972-01-01,,3.5,241,4.0,5.9,60.3,,,,,,,
1972-04-01,,5.3,244,3.7,5.8,60.4,,,,,,,
1972-07-01,,5.4,246,3.2,5.7,60.5,,,,,,,
1972-10-01,,6.9,249,3.0,5.6,60.4,,,,,,,
1973-01-01,,7.6,252,3.0,5.4,60.4,,,,,,,
1973-04-01,,6.3,255,2.8,4.9,60.8,,,,,,,
1973-07-01,,4.8,256,3.5,4.9,60.8,,,,,,,
1973-10-01,,4.0,259,4.1,4.8,61.1,,,,,,,
1974-01-01,,0.6,260,4.9,4.8,61.3,,,,,,,
1974-04-01,,-0.2,261,5.9,5.1,61.2,,,,,,,
1974-07-01,,-0.6,261,7.1,5.2,61.3,,,,,,,
1974-10-01,,-1.9,260,8.7,5.6,61.3,,,,,,,
1975-01-01,,-2.3,256,9.8,6.6,61.2,,,,,,,
1975-04-01,,-1.8,254,10.1,8.3,61.3,,,,,,,
1975-07-01,,0.8,256,9.1,8.9,61.3,,,,,,,
1975-10-01,,2.6,258,7.6,8.5,61.1,,,,,,,
1976-01-01,,6.2,262,6.8,8.3,61.3,,,,,,,
1976-04-01,,6.2,264,6.3,7.7,61.5,,,,,,,
1976-07-01,,5.0,265,6.0,7.6,61.7,,,,,,,
1976-10-01,,4.3,266,6.0,7.7,61.8,,,,,,,
1977-01-01,,3.2,269,6.0,7.8,61.8,,,,,,,
1977-04-01,,4.5,273,6.1,7.5,62.2,,,,,,,
1977-07-01,,5.8,276,6.5,7.1,62.2,,,,,,,
1977-10-01,,5.0,279,6.6,6.9,62.6,,,,,,,
1978-01-01,,4.1,282,6.5,6.7,62.8,6.0,,,,,,
1978-04-01,,6.1,287,6.4,6.3,63.1,6.7,,,,,,
1978-07-01,,5.2,290,6.6,6.0,63.2,7.4,,,,,,
1978-10-01,,6.7,293,6.6,6.0,63.5,7.4,,,,,,
1979-01-01,,6.5,296,7.0,5.9,63.7,8.6,,,,,,
1979-04-01,,2.7,298,6.8,5.9,63.4,9.8,,,,,,
1979-07-01,,2.4,300,7.3,5.7,63.7,9.8,,,,,,
1979-10-01,,1.3,301,7.4,5.9,63.8,9.6,,,,,,
1980-01-01,,1.4,302,7.7,6.0,63.9,10.2,,,,,,
1980-04-01,,-0.8,301,8.9,6.3,63.8,9.1,,,,,,
1980-07-01,,-1.6,299,8.9,7.3,63.7,8.8,,,,,,
1980-10-01,,0.0,301,9.3,7.7,63.7,9.3,,,,,,
1981-01-01,,1.6,303,9.7,7.4,64.0,8.4,,,,,,
1981-04-01,,3.0,303,9.4,7.4,64.1,7.5,,,,,,
1981-07-01,,4.3,304,9.1,7.4,63.7,6.5,,,,,,
1981-10-01,,1.3,303,8.7,7.4,63.8,6.4,,,,,,
1982-01-01,,-2.2,301,8.0,8.2,63.8,4.8,,,,,,
1982-04-01,,-1.0,299,7.2,8.8,64.0,4.3,,,,,,
1982-07-01,,-2.6,297,6.6,9.4,64.1,4.8,,,,,,
1982-10-01,9.20,-1.4,295,6.3,9.9,64.1,4.3,,,,,,
1983-01-01,8.50,1.4,296,5.9,10.7,63.8,2.5,,,,,,
1983-04-01,8.70,3.3,298,5.8,10.4,63.9,3.3,,,,,,
1983-07-01,9.38,5.7,301,5.2,10.1,64.2,3.3,,,,,,
1983-10-01,9.38,7.9,305,5.1,9.4,64.1,3.6,,,,,,
1984-01-01,9.41,8.6,309,4.5,8.5,64.0,3.3,,,,,,
1984-04-01,10.50,8.0,313,4.2,7.9,64.5,4.1,,,,,,
1984-07-01,11.28,6.9,316,4.6,7.4,64.5,3.1,,,,,,
1984-10-01,9.50,5.6,319,4.0,7.4,64.5,3.4,,,,,,
1985-01-01,8.29,4.6,321,3.9,7.3,64.8,3.0,,,,,,
1985-04-01,8.09,3.7,323,4.2,7.2,64.8,3.3,,,,,,
1985-07-01,7.82,4.3,325,3.9,7.3,64.7,2.8,,,,,,
1985-10-01,7.96,4.2,327,4.0,7.2,65.0,3.3,,,,,,
1986-01-01,7.61,4.1,328,4.0,7.0,65.0,2.7,,,,,,
1986-04-01,6.92,3.7,329,3.7,7.0,65.2,2.7,,,,,,
1986-07-01,6.21,3.1,331,3.6,7.2,65.4,2.9,,,,,,
1986-10-01,5.88,2.9,333,3.2,7.0,65.4,3.0,,,,,,
1987-01-01,5.99,2.7,335,3.3,6.8,65.5,3.0,,,,,,
1987-04-01,6.45,3.4,338,2.8,6.6,65.5,3.2,,,,,,
1987-07-01,6.83,3.3,340,3.1,6.3,65.6,3.1,,,,,,
1987-10-01,7.00,4.5,343,3.3,6.0,65.7,3.2,,,,,,
1988-01-01,6.62,4.2,346,3.6,5.8,65.8,3.2,,,,,,
1988-04-01,7.02,4.5,349,3.9,5.7,65.8,3.4,,,,,,
1988-07-01,7.90,4.2,351,4.2,5.5,66.0,4.3,,,,,,
1988-10-01,8.30,3.8,354,4.4,5.5,66.1,3.8,,,,,,
1989-01-01,9.33,4.3,357,4.5,5.3,66.4,3.8,,,,,,
1989-04-01,9.71,3.7,358,4.7,5.2,66.4,4.2,,,,,,
1989-07-01,9.15,3.9,359,4.3,5.2,66.5,3.7,,,,,,
1989-10-01,8.63,2.7,361,3.9,5.2,66.5,3.5,,,,,,
1990-01-01,8.25,2.8,364,3.7,5.4,66.7,4.0,,,,,,
1990-04-01,8.25,2.4,365,3.8,5.3,66.5,3.6,,,,,,
1990-07-01,8.03,1.7,364,4.0,5.3,66.5,4.2,,,,,,
1990-10-01,7.59,0.6,363,4.3,5.7,66.4,4.7,,,,,,
1991-01-01,6.38,-1.0,361,4.2,6.1,66.2,3.5,,,,,,
1991-04-01,5.83,-0.5,360,3.9,6.6,66.3,3.2,,,,,,
1991-07-01,5.55,-0.1,360,3.6,6.8,66.1,3.1,,,,,,
1991-10-01,4.79,1.2,360,3.4,6.9,66.1,2.9,,,,,,
1992-01-01,4.00,2.9,360,3.4,7.1,66.3,2.6,,,,,,
1992-04-01,3.77,3.2,361,3.3,7.4,66.6,3.0,,,,,,
1992-07-01,3.18,3.7,362,3.2,7.6,66.6,2.8,,,,,,
1992-10-01,3.00,4.4,363,2.9,7.6,66.3,2.8,,,,,,
1993-01-01,3.00,3.3,365,2.8,7.4,66.2,3.1,,,,,,
1993-04-01,3.00,2.8,367,2.7,7.1,66.3,3.1,,,,,,
1993-07-01,3.00,2.3,370,2.8,7.1,66.3,3.1,,,,,,
1993-10-01,3.00,2.6,372,2.8,6.8,66.3,3.0,,,,,,
1994-01-01,3.18,3.4,375,2.5,6.6,66.6,2.9,,,,,,
1994-04-01,3.95,4.2,378,2.3,6.6,66.5,2.9,,,,,,
1994-07-01,4.50,4.3,382,2.2,6.2,66.5,3.1,,,,,,
1994-10-01,5.13,4.1,385,2.2,6.0,66.7,3.1,,,,,,
1995-01-01,5.83,3.5,388,2.2,5.6,66.8,3.1,,,,,,
1995-04-01,6.00,2.4,389,2.3,5.5,66.6,3.1,,,,,,
1995-07-01,5.76,2.7,391,2.2,5.7,66.6,2.9,,,,,,
1995-10-01,5.71,2.2,393,2.1,5.7,66.5,2.8,,,,,,
1996-01-01,5.33,2.6,394,2.1,5.6,66.5,2.8,,,,,,
1996-04-01,5.25,4.0,397,2.0,5.5,66.7,3.0,,,,,,
1996-07-01,5.25,4.0,399,1.9,5.5,66.8,3.1,,,,,,
1996-10-01,5.25,4.4,402,1.8,5.3,67.0,3.0,,,,,,
1997-01-01,5.27,4.3,404,1.9,5.3,67.0,2.9,,,,,,
1997-04-01,5.50,4.3,407,1.9,5.2,67.1,2.9,,,,,,
1997-07-01,5.50,4.7,409,2.0,5.0,67.2,2.7,,,,,,
1997-10-01,5.50,4.5,413,1.7,4.9,67.2,2.8,,,,,,
1998-01-01,5.50,4.9,415,1.5,4.7,67.1,2.4,,,,,,
1998-04-01,5.50,4.1,418,1.4,4.6,67.0,2.6,,,,,,
1998-07-01,5.49,4.1,420,1.2,4.4,67.1,2.4,,,,,,
1998-10-01,4.92,4.9,423,1.3,4.5,67.2,2.4,,,,,,
1999-01-01,4.75,4.8,425,1.3,4.4,67.1,2.6,,,,,,
1999-04-01,4.75,4.7,428,1.2,4.3,67.1,2.7,,,,,,
1999-07-01,5.10,4.8,431,1.3,4.3,67.0,2.7,,,,,,
1999-10-01,5.38,4.8,433,1.3,4.2,67.1,2.9,,,,,,
2000-01-01,5.69,4.2,436,1.4,4.1,67.3,3.0,,,,,,
2000-04-01,6.25,5.2,439,1.7,4.0,67.2,3.0,,,,,,
2000-07-01,6.50,4.0,439,1.7,3.9,66.9,2.9,,,,,,
2000-10-01,6.50,2.9,440,1.8,4.0,66.9,3.0,,,,,,
2001-01-01,5.61,2.2,441,1.9,3.9,67.2,2.9,,,,,,
2001-04-01,4.32,1.0,440,2.0,4.2,66.8,3.1,,,,,,
2001-07-01,3.56,0.5,438,2.0,4.4,66.7,2.7,,,,,,
2001-10-01,2.14,0.2,436,1.8,4.8,66.7,1.1,,,,,,
2002-01-01,1.75,1.3,434,1.8,5.5,66.6,2.2,,,,,,
2002-04-01,1.75,1.3,434,1.4,5.7,66.7,2.7,,,,,,
2002-07-01,1.75,2.1,434,1.6,5.8,66.6,2.6,,,,,,
2002-10-01,1.45,2.0,434,1.9,5.7,66.4,2.5,,,,,,
2003-01-01,1.25,1.7,433,1.8,5.9,66.4,2.8,,,,,,
2003-04-01,1.23,2.0,433,1.8,5.9,66.4,2.2,,,,,,
2003-07-01,1.00,3.2,433,1.6,6.1,66.1,2.3,,,,,,
2003-10-01,1.00,4.3,434,1.5,6.1,66.0,2.6,,,,,,
2004-01-01,1.00,4.4,435,1.6,5.8,66.0,2.7,,,,,,
2004-04-01,1.00,4.2,437,1.8,5.7,66.0,3.3,,,,,,
2004-07-01,1.42,3.5,438,2.0,5.6,66.0,2.9,,,,,,
2004-10-01,1.94,3.4,440,1.9,5.4,65.9,3.0,,,,,,
2005-01-01,2.44,3.9,442,2.0,5.4,65.9,3.0,,,,,,
2005-04-01,2.91,3.6,444,2.2,5.3,66.1,3.2,,,,,,
2005-07-01,3.42,3.4,447,2.1,5.1,66.1,3.5,,,,,,
2005-10-01,3.97,3.0,448,2.2,5.0,66.0,3.7,,,,,,
2006-01-01,4.43,3.2,451,2.3,5.0,66.1,3.0,,,,,,
2006-04-01,4.90,3.0,453,2.1,4.7,66.1,3.5,,,,,,
2006-07-01,5.25,2.3,454,2.5,4.6,66.1,3.4,,,,,,
2006-10-01,5.25,2.6,455,2.6,4.6,66.3,3.0,,,,,,
